id,job_role,skills_required,experience_years,level,job_description
37,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",3,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
38,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
39,Python Developer,"Python, Django, REST APIs, PostgreSQL",4,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
40,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
41,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
42,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
43,Web Developer,"React, Node.js, MongoDB, REST APIs",4,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
44,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
45,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",4,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
46,Java Developer,"Java, Spring Boot, Hibernate, MySQL",2,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
47,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
48,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
49,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",6,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
50,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",3,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
51,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",4,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
52,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
53,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
54,Software Tester,"Selenium, Automation Testing, JIRA",3,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
55,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
56,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
57,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
58,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",2,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
59,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",4,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
60,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
61,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",4,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
62,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
63,Web Developer,"React, Node.js, MongoDB, REST APIs",3,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
64,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",6,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
65,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
66,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
67,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
68,Java Developer,"Java, Spring Boot, Hibernate, MySQL",4,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
69,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
70,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",6,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
71,Web Developer,"React, Node.js, MongoDB, REST APIs",2,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
72,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
73,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
74,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",3,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
75,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
76,Web Developer,"React, Node.js, MongoDB, REST APIs",3,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
77,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
78,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
79,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
80,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
81,Java Developer,"Java, Spring Boot, Hibernate, MySQL",3,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
82,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",6,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
83,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
84,Java Developer,"Java, Spring Boot, Hibernate, MySQL",3,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
85,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
86,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",6,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
87,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
88,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
89,Web Developer,"React, Node.js, MongoDB, REST APIs",3,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
90,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
91,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
92,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",6,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
93,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
94,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",3,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
95,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
96,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
97,Web Developer,"React, Node.js, MongoDB, REST APIs",5,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
98,Web Developer,"React, Node.js, MongoDB, REST APIs",3,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
99,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
100,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
101,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
102,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
103,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",5,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
104,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
105,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
106,Software Tester,"Selenium, Automation Testing, JIRA",3,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
107,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
108,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",4,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
109,Web Developer,"React, Node.js, MongoDB, REST APIs",5,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
110,Software Tester,"Selenium, Automation Testing, JIRA",2,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
111,Python Developer,"Python, Django, REST APIs, PostgreSQL",2,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
112,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
113,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",4,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
114,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",3,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
115,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
116,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
117,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
118,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
119,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
120,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
121,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
122,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
123,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",3,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
124,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
125,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
126,Web Developer,"React, Node.js, MongoDB, REST APIs",6,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
127,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
128,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
129,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
130,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
131,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
132,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
133,Web Developer,"React, Node.js, MongoDB, REST APIs",3,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
134,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
135,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
136,Java Developer,"Java, Spring Boot, Hibernate, MySQL",2,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
137,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
138,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
139,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",5,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
140,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",6,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
141,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
142,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
143,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
144,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
145,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
146,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
147,Web Developer,"React, Node.js, MongoDB, REST APIs",3,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
148,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
149,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",2,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
150,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
151,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
152,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
153,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",5,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
154,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
155,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",3,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
156,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
157,Data Scientist,"Python, Statistics, Pandas, NumPy, Machine Learning",0,Fresher,"Strong foundation in Python, statistics, and machine learning concepts. Ability to analyze data, build basic models, and visualize insights."
158,Python Developer,"Python, Django, REST APIs, PostgreSQL",3,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
159,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
160,Java Developer,"Java, Spring Boot, Hibernate, MySQL",5,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
161,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",5,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
162,Data Analyst,"SQL, Power BI, Data Visualization",3,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
163,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",2,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
164,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
165,Software Tester,"Selenium, Automation Testing, JIRA",5,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
166,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",2,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
167,Python Developer,"Python, Django, REST APIs, PostgreSQL",4,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
168,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
169,Python Developer,"Python, Django, REST APIs, PostgreSQL",6,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
170,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
171,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",5,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
172,DevOps Engineer,"Linux, Git, Cloud Basics",0,Fresher,"Basic understanding of Linux, version control, and cloud fundamentals."
173,Software Tester,"Selenium, Automation Testing, JIRA",2,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
174,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
175,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
176,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",6,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
177,Software Tester,"Selenium, Automation Testing, JIRA",3,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
178,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
179,Python Developer,"Python, Django, REST APIs, PostgreSQL",5,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
180,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
181,DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD",5,Experienced,"Experience managing CI/CD pipelines, containerization, and cloud infrastructure."
182,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
183,Software Tester,"Selenium, Automation Testing, JIRA",6,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
184,Web Developer,"React, Node.js, MongoDB, REST APIs",6,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
185,Java Developer,"Java, Spring Boot, Hibernate, MySQL",6,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
186,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
187,Web Developer,"React, Node.js, MongoDB, REST APIs",5,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
188,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
189,Web Developer,"React, Node.js, MongoDB, REST APIs",3,Experienced,Experience building scalable web applications using modern frontend and backend frameworks and REST APIs.
190,Software Tester,"Selenium, Automation Testing, JIRA",3,Experienced,"Experience in automation testing, frameworks, and defect tracking tools."
191,Data Analyst,"Excel, SQL, Statistics Basics",0,Fresher,"Ability to work with Excel and SQL to clean, analyze, and present data insights."
192,Java Developer,"Java, Spring Boot, Hibernate, MySQL",3,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
193,Java Developer,"Java, Spring Boot, Hibernate, MySQL",2,Experienced,"Experience in developing enterprise applications using Spring Boot, Hibernate, and relational databases."
194,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
195,Web Developer,"HTML, CSS, JavaScript, Responsive Design",0,Fresher,"Knowledge of HTML, CSS, and JavaScript with ability to build responsive websites and understand basic frontend frameworks."
196,Data Analyst,"SQL, Power BI, Data Visualization",5,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
197,Cloud Engineer,"Cloud Fundamentals, Networking",0,Fresher,"Understanding of cloud concepts, networking, and virtualization."
198,Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, AWS",5,Experienced,"Hands-on experience in machine learning, deep learning, model deployment, and large-scale data analysis using Python and cloud tools."
199,Python Developer,"Python, Git, Flask Basics",0,Fresher,"Basic knowledge of Python programming, scripting, and version control systems."
200,Python Developer,"Python, Django, REST APIs, PostgreSQL",2,Experienced,"Experience developing backend applications, APIs, and automation using Python frameworks."
201,Software Tester,"Manual Testing, Test Cases, SDLC",0,Fresher,"Knowledge of software testing life cycle, test cases, and manual testing techniques."
202,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
203,Java Developer,"Java, OOPs, Basics of SQL",0,Fresher,"Understanding of Java fundamentals, OOP concepts, and basic database connectivity."
204,Data Analyst,"SQL, Power BI, Data Visualization",2,Experienced,"Experience creating dashboards, reports, and insights using BI tools and advanced SQL."
205,Cloud Engineer,"AWS, Azure, Terraform, Cloud Security",3,Experienced,Experience designing and maintaining cloud infrastructure with security best practices.
